"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDCAP 150","20 Jun 2023","24550.65","24712.70","24450.05","24659.00"
"NIFTY MIDCAP 150","19 Jun 2023","24788.85","24799.20","24499.35","24539.10"
"NIFTY MIDCAP 150","16 Jun 2023","24680.20","24794.85","24655.25","24733.15"
"NIFTY MIDCAP 150","15 Jun 2023","24647.30","24688.40","24557.10","24633.35"
"NIFTY MIDCAP 150","14 Jun 2023","24421.80","24666.20","24406.90","24638.60"
"NIFTY MIDCAP 150","13 Jun 2023","24356.05","24420.35","24301.65","24399.20"
"NIFTY MIDCAP 150","12 Jun 2023","24192.00","24299.30","24091.80","24269.05"
"NIFTY MIDCAP 150","09 Jun 2023","24338.35","24341.00","24139.80","24169.50"
"NIFTY MIDCAP 150","08 Jun 2023","24195.05","24415.60","24159.40","24215.00"
"NIFTY MIDCAP 150","07 Jun 2023","23961.50","24167.20","23915.75","24125.15"
"NIFTY MIDCAP 150","06 Jun 2023","23968.70","23984.35","23745.25","23867.30"
"NIFTY MIDCAP 150","05 Jun 2023","23902.40","23927.15","23845.00","23901.70"
"NIFTY MIDCAP 150","02 Jun 2023","23916.05","23927.70","23746.10","23785.70"
"NIFTY MIDCAP 150","01 Jun 2023","23880.95","23915.60","23755.85","23825.30"
"NIFTY MIDCAP 150","31 May 2023","24154.45","24181.45","23734.15","23875.55"
"NIFTY MIDCAP 150","30 May 2023","24319.70","24384.45","24189.50","24218.15"
"NIFTY MIDCAP 150","29 May 2023","24258.40","24314.00","24150.60","24261.30"
"NIFTY MIDCAP 150","26 May 2023","24164.05","24270.45","24098.30","24238.90"
"NIFTY MIDCAP 150","25 May 2023","24113.55","24144.40","23899.55","24071.70"
"NIFTY MIDCAP 150","24 May 2023","24117.95","24220.35","24043.95","24085.25"
"NIFTY MIDCAP 150","23 May 2023","24046.20","24124.80","24009.35","24028.45"
"NIFTY MIDCAP 150","22 May 2023","23782.65","24019.80","23775.90","23898.20"
"NIFTY MIDCAP 150","19 May 2023","23653.15","23754.85","23458.35","23723.35"
"NIFTY MIDCAP 150","18 May 2023","24011.55","24014.05","23663.35","23692.15"
"NIFTY MIDCAP 150","17 May 2023","24118.00","24118.00","23835.90","23901.15"
"NIFTY MIDCAP 150","16 May 2023","24128.40","24193.45","23994.90","24027.80"
"NIFTY MIDCAP 150","15 May 2023","24092.40","24132.80","23932.80","24040.20"
"NIFTY MIDCAP 150","12 May 2023","24254.00","24263.90","23963.85","24040.20"
"NIFTY MIDCAP 150","11 May 2023","24284.40","24458.35","24253.25","24316.50"
"NIFTY MIDCAP 150","10 May 2023","24156.35","24281.80","24088.75","24268.95"
"NIFTY MIDCAP 150","09 May 2023","24107.60","24254.15","24028.95","24099.10"
"NIFTY MIDCAP 150","08 May 2023","23896.35","24166.30","23863.50","24129.65"
"NIFTY MIDCAP 150","05 May 2023","24036.80","24091.15","23901.50","23946.75"
"NIFTY MIDCAP 150","04 May 2023","23910.55","24072.25","23855.40","24042.40"
"NIFTY MIDCAP 150","03 May 2023","24049.00","24067.65","23877.50","23901.15"
"NIFTY MIDCAP 150","02 May 2023","23876.30","24104.05","23862.45","24046.95"
"NIFTY MIDCAP 150","28 Apr 2023","23528.40","23764.20","23376.35","23734.55"
"NIFTY MIDCAP 150","27 Apr 2023","23401.95","23470.35","23323.40","23443.65"
"NIFTY MIDCAP 150","26 Apr 2023","23397.85","23419.25","23230.45","23365.80"
"NIFTY MIDCAP 150","25 Apr 2023","23206.75","23431.60","23195.65","23385.75"
"NIFTY MIDCAP 150","24 Apr 2023","23248.55","23279.95","23133.00","23207.40"
"NIFTY MIDCAP 150","21 Apr 2023","23227.45","23250.15","23095.60","23185.45"
"NIFTY MIDCAP 150","20 Apr 2023","23182.50","23225.15","23116.05","23185.25"
"NIFTY MIDCAP 150","19 Apr 2023","23160.20","23236.30","23076.55","23159.40"
"NIFTY MIDCAP 150","18 Apr 2023","23426.80","23431.95","23124.60","23211.85"
"NIFTY MIDCAP 150","17 Apr 2023","23494.60","23494.60","23272.05","23363.75"
"NIFTY MIDCAP 150","13 Apr 2023","23266.85","23350.70","23117.75","23215.65"
"NIFTY MIDCAP 150","12 Apr 2023","23396.70","23435.40","23181.40","23233.10"
"NIFTY MIDCAP 150","11 Apr 2023","23181.50","23321.30","23162.85","23297.20"
"NIFTY MIDCAP 150","10 Apr 2023","22930.00","23122.15","22904.60","23060.05"
"NIFTY MIDCAP 150","06 Apr 2023","22763.15","22887.40","22683.05","22816.05"
"NIFTY MIDCAP 150","05 Apr 2023","22907.35","22942.55","22622.40","22707.90"
"NIFTY MIDCAP 150","03 Apr 2023","22937.65","22952.90","22734.30","22805.90"
"NIFTY MIDCAP 150","31 Mar 2023","22552.65","22948.85","22550.35","22814.45"
"NIFTY MIDCAP 150","29 Mar 2023","22260.60","22494.80","22205.45","22373.05"
"NIFTY MIDCAP 150","28 Mar 2023","22452.55","22473.45","22300.00","22388.85"
"NIFTY MIDCAP 150","27 Mar 2023","22718.05","22811.50","22466.50","22514.55"
"NIFTY MIDCAP 150","24 Mar 2023","22905.10","22947.75","22580.45","22613.40"
"NIFTY MIDCAP 150","23 Mar 2023","22841.85","22918.55","22739.45","22821.75"
"NIFTY MIDCAP 150","22 Mar 2023","22930.25","22940.35","22785.95","22835.75"
"NIFTY MIDCAP 150","21 Mar 2023","22715.25","22826.50","22589.15","22792.90"
"NIFTY MIDCAP 150","20 Mar 2023","22529.90","22655.45","22405.55","22585.70"
"NIFTY MIDCAP 150","17 Mar 2023","22850.20","22870.75","22598.45","22659.00"
"NIFTY MIDCAP 150","16 Mar 2023","22480.50","22735.60","22295.30","22621.35"
"NIFTY MIDCAP 150","15 Mar 2023","22505.85","22550.00","22351.70","22393.70"
"NIFTY MIDCAP 150","14 Mar 2023","22564.90","22678.35","22319.45","22403.30"
"NIFTY MIDCAP 150","13 Mar 2023","22836.65","22918.90","22513.20","22561.65"
"NIFTY MIDCAP 150","10 Mar 2023","22570.45","22718.05","22509.45","22696.75"
"NIFTY MIDCAP 150","09 Mar 2023","22988.30","22989.25","22654.60","22682.15"
"NIFTY MIDCAP 150","08 Mar 2023","22717.60","22898.60","22646.80","22887.75"
"NIFTY MIDCAP 150","06 Mar 2023","22446.10","22785.35","22436.10","22698.50"
"NIFTY MIDCAP 150","03 Mar 2023","22098.90","22339.20","22066.90","22268.75"
"NIFTY MIDCAP 150","02 Mar 2023","21894.55","21961.35","21831.90","21900.05"
"NIFTY MIDCAP 150","01 Mar 2023","21768.95","21899.35","21725.65","21874.60"
